iter	Passed	Remaining
0	129	129396
1	130	64902
2	130	43421
3	131	32664
4	131	26213
5	132	21913
6	132	18838
7	133	16533
8	133	14738
9	134	13301
10	134	12130
11	135	11152
12	135	10323
13	136	9615
14	137	9003
15	137	8467
16	138	7991
17	138	7568
18	139	7190
19	139	6848
20	140	6539
21	140	6260
22	141	6012
23	142	5798
24	143	5587
25	143	5393
26	144	5212
27	145	5046
28	145	4887
29	146	4737
30	147	4599
31	147	4468
32	148	4345
33	148	4229
34	149	4119
35	150	4018
36	150	3926
37	151	3836
38	152	3749
39	152	3665
40	153	3586
41	154	3512
42	154	3441
43	155	3374
44	155	3307
45	156	3248
46	157	3189
47	157	3130
48	158	3074
49	159	3021
50	159	2969
51	160	2920
52	160	2874
53	161	2827
54	161	2782
55	162	2738
56	163	2697
57	163	2656
58	164	2618
59	164	2579
60	165	2543
61	165	2507
62	166	2472
63	166	2438
64	167	2405
65	167	2374
66	168	2344
67	168	2315
68	169	2286
69	170	2261
70	170	2233
71	171	2207
72	172	2185
73	172	2160
74	173	2135
75	173	2113
76	174	2093
77	175	2070
78	175	2048
79	176	2026
80	177	2008
81	177	1988
82	177	1965
83	178	1945
84	179	1927
85	179	1908
86	180	1890
87	180	1873
88	181	1855
89	181	1837
90	182	1821
91	182	1804
92	183	1788
93	183	1772
94	184	1756
95	185	1743
96	185	1729
97	186	1714
98	187	1702
99	187	1688
100	188	1674
101	188	1661
102	189	1648
103	189	1634
104	190	1621
105	190	1608
106	191	1596
107	191	1583
108	192	1571
109	192	1559
110	193	1547
111	193	1536
112	194	1524
113	194	1513
114	195	1502
115	195	1491
116	196	1480
117	196	1470
118	197	1460
119	197	1450
120	198	1440
121	198	1429
122	199	1420
123	200	1413
124	200	1405
125	201	1395
126	201	1385
127	202	1376
128	202	1367
129	203	1359
130	203	1350
131	204	1341
132	204	1332
133	204	1324
134	205	1316
135	205	1308
136	206	1300
137	206	1292
138	207	1284
139	207	1276
140	208	1268
141	208	1260
142	209	1252
143	209	1245
144	209	1238
145	210	1231
146	210	1223
147	211	1216
148	211	1210
149	212	1203
150	212	1196
151	213	1190
152	213	1183
153	214	1178
154	215	1172
155	215	1166
156	216	1160
157	216	1154
158	217	1148
159	217	1142
160	217	1135
161	218	1129
162	218	1123
163	219	1117
164	219	1112
165	220	1106
166	220	1100
167	221	1095
168	221	1089
169	222	1084
170	222	1079
171	223	1074
172	223	1068
173	224	1063
174	224	1058
175	225	1053
176	225	1048
177	225	1043
178	226	1038
179	226	1033
180	227	1028
181	227	1024
182	228	1019
183	228	1014
184	229	1011
185	230	1006
186	230	1002
187	231	998
188	231	993
189	232	989
190	232	984
191	232	980
192	233	976
193	234	972
194	234	968
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	928
205	239	924
206	240	920
207	240	916
208	241	912
209	241	909
210	242	905
211	242	901
212	243	898
213	243	894
214	244	891
215	244	888
216	245	885
217	245	881
218	246	878
219	246	874
220	247	872
221	247	868
222	248	865
223	248	862
224	249	858
225	249	855
226	250	852
227	250	849
228	251	846
229	251	843
230	252	839
231	252	836
232	253	833
233	253	830
234	254	827
235	254	824
236	255	821
237	255	818
238	256	815
239	256	812
240	256	809
241	257	806
242	257	803
243	258	800
244	258	798
245	259	795
246	260	792
247	260	789
248	260	787
249	261	784
250	261	781
251	262	778
252	262	776
253	263	773
254	263	770
255	264	768
256	264	765
257	265	762
258	265	760
259	266	757
260	266	755
261	267	752
262	267	750
263	268	747
264	268	745
265	269	742
266	269	740
267	270	737
268	270	735
269	270	732
270	271	730
271	271	727
272	272	725
273	272	723
274	273	720
275	273	718
276	274	716
277	275	714
278	275	711
279	275	709
280	276	707
281	276	705
282	277	702
283	277	700
284	278	698
285	278	696
286	279	693
287	279	691
288	280	689
289	280	687
290	281	685
291	281	683
292	282	681
293	282	678
294	283	676
295	283	674
296	284	672
297	284	670
298	285	668
299	285	666
300	286	664
301	286	662
302	287	660
303	287	658
304	287	656
305	288	654
306	289	652
307	289	650
308	290	648
309	290	646
310	291	644
311	291	642
312	292	640
313	292	639
314	292	637
315	293	635
